ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",Logical,,
0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",Relational,Oracle Database 11g,
