ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Table_Name,Column_Name
33758068-778C-7ADD-B285-8D927972E101,292,5A3271AA-007E-367A-307C-EBA2CE4A2A65,223,"Abonos","id_abono",
1EDCF801-75B9-ADE2-99C4-A1E76457BC6F,293,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,"Academias","id_academia",
F305A9FB-951E-2BD0-4160-EAF90566C455,294,0929B5D2-3242-C92E-0867-8D1FDB84A784,225,"Ciudades","id_ciudades",
AF77163F-8248-6F3B-8EA6-607AC369BB86,295,ED091BD7-A257-D794-569B-3B041098A764,226,"Comunas","id_comuna",
729F14A6-CEA3-BBD9-68CF-B87968082CB3,296,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,"Contratos","id_contrato",
358CB34D-1679-C100-B2B6-722C55AC974C,297,73B29AA5-5AE3-9230-9A63-21995D38FC78,228,"Descuentos","id_descuento",
9C41A39A-B129-AC85-4ABE-AC41CBB91C8F,298,C488DF8B-25BB-7094-FADA-3808B5A37FD4,229,"Directores","id_director",
339506F3-9C0E-FF49-E123-5ACA320A9B0F,282,EC423A0B-89AE-2739-EAA4-5C0E0B760225,230,"Estado_Civil","Estado_Civil_ID",
D4AF32D8-5884-1AEE-A1D2-A498C2690BFA,299,CB100AF3-96BD-C64C-80B1-A8C4F92ABEEF,231,"Formularios","id_formulario",
57FE44CC-805F-299C-0712-6549285DD4D9,300,CC265891-FB3F-2E5D-60DF-333945333639,232,"Inversiones","id_inversion",
84E055FD-AC52-F280-00D3-94EC04090A8F,301,99D640BE-7A57-308A-C90E-2651C0B79CFB,233,"Nacionalidad","id_nacionalidad",
209AE1E5-142B-BBEE-352D-ABE987DA4A12,302,CB4C3459-742A-A898-B39D-71C56E155BAF,235,"Pagos","id_pago",
7A7B432C-8464-77D5-C52B-2A27325F6B08,303,C729E649-121A-E211-3FB4-32FEDB0E75A4,238,"Profesiones","id_profesion",
9EF38F9B-A4DD-AA36-CD8B-D8378924008B,304,BEDC6C04-4FD9-0FD5-E645-6701A2886729,239,"Profesiones2","id_profesion",
E3753039-5384-84F0-AA24-005DB38BF8C2,305,E6B3F8D8-0FE9-506A-E597-E7BE688B6260,240,"Profesores","id_profesores",
C7E5EF2C-0D63-F10E-3EEA-27D3EBFDBB3F,306,F40253BE-0AE2-6D67-4D9C-ADBC5CD1F30F,241,"Recursos","id_recurso",
0EE608E2-0B57-2AF1-1A9A-A11B46B9E6FC,307,290A6C96-9AF1-ECFE-FA65-D7EA2A4E1345,242,"Regiones","id_region",
62AEF9E2-7972-D1CB-15F8-139140EB1ADE,310,CF0CE95D-CB32-3E68-6DC8-CE48A6DD232C,243,"Tipo_1","id_tipo_inversion",
48EA0248-89C7-218C-D4A0-8F915EDFA612,308,D93D6F78-B518-14CD-6A88-EFF2FF0226A9,244,"Tipo_2","id_tipo_academia",
4F1BF719-AEF4-053B-3886-0F5017BB0AD2,309,96443212-DA2C-43FC-9BEA-1A94C40B5FE1,245,"Tipo_3","id_tipo_contrato",
